metric,bucket,win_rate,n
target1_R,"(0.0013999999999999998, 0.115]",0.7631578947368421,38.0
target1_R,"(0.115, 0.305]",0.7894736842105263,38.0
target1_R,"(0.305, 0.636]",0.7297297297297297,37.0
target1_R,"(0.636, 99.041]",0.5526315789473685,38.0
fvg_size_over_atr,"(0.107, 0.355]",0.6578947368421053,38.0
fvg_size_over_atr,"(0.355, 0.689]",0.7631578947368421,38.0
fvg_size_over_atr,"(0.689, 1.147]",0.6756756756756757,37.0
fvg_size_over_atr,"(1.147, 7.735]",0.7368421052631579,38.0
ob_body_over_atr,"(-0.001, 0.119]",0.7368421052631579,38.0
ob_body_over_atr,"(0.119, 0.238]",0.6842105263157895,38.0
ob_body_over_atr,"(0.238, 0.35]",0.7297297297297297,37.0
ob_body_over_atr,"(0.35, 0.491]",0.6842105263157895,38.0
confirmation_bars_5m,"(-0.001, 2.0]",0.6595744680851063,47.0
confirmation_bars_5m,"(2.0, 4.0]",0.696969696969697,33.0
confirmation_bars_5m,"(4.0, 15.0]",0.6470588235294118,34.0
confirmation_bars_5m,"(15.0, 47.0]",0.8378378378378378,37.0
