,n,mean,median,std,q25,q75,min,max
winners_target1_R,107.0,0.6276985263782175,0.24952858212995063,1.6426055928906595,0.09450238099920572,0.5650153844014223,0.0023965489694995528,15.68129330252193
winners_target2_R,107.0,1.7948260838644976,0.36710994568268246,8.59663245088772,0.1516992050458258,0.7626977793313694,0.012817098342080575,87.62124711304794
losers_target1_R,44.0,5.138678203483765,0.40698908780622556,17.682315652208047,0.19804471095137421,1.5864190442967872,0.0076052300582332595,99.04132231402012
losers_target2_R,44.0,13.618033616927358,2.363362788676115,44.18415205718243,0.8236824495079454,5.396507380952904,0.0025615691440866143,276.40186915981593
winners_fvg_size_over_atr,107.0,1.0761740087345357,0.6893317702229098,1.2717445066718986,0.3902279631897916,1.1941121367534167,0.11707118090952405,7.735109717868225
losers_fvg_size_over_atr,44.0,0.824071808301703,0.6915232330337348,0.7426618921528066,0.31359900611625796,1.0903619655718177,0.10769230769241346,3.724528301886188
winners_ob_body_over_atr,107.0,0.23703931207325474,0.23844282238449568,0.14384277045816243,0.11473501238486276,0.34683086063975854,0.0,0.49074074074107665
losers_ob_body_over_atr,44.0,0.2296513121946772,0.23420801683619885,0.13784881148339106,0.13253012048227902,0.35550494013382855,0.006688963210746339,0.45500000000038987
winners_confirmation_bars_5m,107.0,12.25233644859813,4.0,14.659721134277795,2.0,22.5,0.0,45.0
losers_confirmation_bars_5m,44.0,9.068181818181818,4.0,13.630331646859613,2.0,7.5,0.0,47.0
