metric,bucket,win_rate,n
target1_R,"(0.0018700000000000001, 0.173]",0.8947368421052632,19.0
target1_R,"(0.173, 0.542]",0.7368421052631579,19.0
target1_R,"(0.542, 0.855]",0.8333333333333334,18.0
target1_R,"(0.855, 54.172]",0.7368421052631579,19.0
fvg_size_over_atr,"(0.116, 0.5]",0.8571428571428571,14.0
fvg_size_over_atr,"(0.5, 0.779]",0.8461538461538461,13.0
fvg_size_over_atr,"(0.779, 1.576]",0.8461538461538461,13.0
fvg_size_over_atr,"(1.576, 7.735]",0.8571428571428571,14.0
ob_body_over_atr,"(0.00415, 0.129]",0.9285714285714286,14.0
ob_body_over_atr,"(0.129, 0.216]",0.6923076923076923,13.0
ob_body_over_atr,"(0.216, 0.34]",0.9230769230769231,13.0
ob_body_over_atr,"(0.34, 0.49]",0.8571428571428571,14.0
confirmation_bars_5m,"(-0.001, 9.75]",0.9285714285714286,14.0
confirmation_bars_5m,"(9.75, 27.0]",1.0,15.0
confirmation_bars_5m,"(27.0, 42.0]",0.9285714285714286,14.0
confirmation_bars_5m,"(42.0, 47.0]",0.45454545454545453,11.0
