,n,mean,median,std,q25,q75,min,max
winners_target1_R,60.0,0.6175348288806319,0.5080013339517051,0.6107488821299065,0.14150072066368044,0.8508040349716295,0.0028673247858665503,3.356485054277784
winners_target2_R,60.0,0.8651871941427061,0.657402261269341,1.1111597373664255,0.28433255260896556,1.0458542310351495,0.03323715256206111,8.043241773188553
losers_target1_R,15.0,4.88797888957285,0.591330611859774,13.758223023760046,0.3221904556377422,2.107354698539729,0.023827083451503493,54.17249417175614
losers_target2_R,15.0,5.13828190557468,1.0660450660450067,14.16313491858217,0.4140810681680325,2.3545040156287547,0.00560583006330226,55.96736596660824
winners_fvg_size_over_atr,46.0,1.3402818348076568,0.7709450738554116,1.5162725047818069,0.49982784271000513,1.8189251005821763,0.11707118090952405,7.735109717868225
losers_fvg_size_over_atr,8.0,1.0412671594199583,0.7979610750695052,0.8780326722294872,0.5107397661444099,1.2516234314710413,0.1597717546363592,2.9051383399218955
winners_ob_body_over_atr,46.0,0.23426958451178523,0.22893927953102883,0.14930589552809384,0.09964826779876994,0.34049629544453885,0.00514895182032723,0.4904250350304002
losers_ob_body_over_atr,8.0,0.22819465640040273,0.18893761036905754,0.12067879230491932,0.13798274410059733,0.30806595185898783,0.09422321929324097,0.4022242817426317
winners_confirmation_bars_5m,46.0,23.282608695652176,24.0,15.532994336040888,6.0,36.0,0.0,45.0
losers_confirmation_bars_5m,8.0,36.875,43.5,15.63364046809681,39.25,44.25,1.0,47.0
