symbol,n,strat_total_pct,bh_total_pct,strat_dd,bh_dd
ASIANPAINT,12,-41.96184943258022,146.38302360170408,-47.360122412329375,-40.684505777885484
AXISBANK,8,12.536483649434516,128.08030189774993,-25.83833338058029,-63.156295771268
BAJAJ-AUTO,6,108.2441504571126,312.0924745012105,-33.88056059254588,-43.28806233553083
BHARTIARTL,3,434.0090216463933,466.25054678947527,-33.583833414486506,-47.46870386913751
BRITANNIA,8,24.431695223703787,277.4558086096403,-39.038733466041585,-38.03467669796292
CIPLA,7,1.6724410144315582,168.89059116146674,-34.033442930292225,-44.30736935115219
COALINDIA,5,178.8727820384139,28.05992326486424,-29.024349927434713,-68.21448909378233
DIVISLAB,3,509.31347372579773,501.95987651348577,-20.823611739701832,-59.542976023283614
DRREDDY,10,44.98052027312387,65.36247069046928,-36.00162194229034,-45.63872079519311
EICHERMOT,6,18.020152284120417,281.93376082284914,-35.679969417113135,-61.414189404286915
HCLTECH,8,37.58186689257628,243.327919527243,-32.87554671145902,-48.163001161476004
HDFCBANK,6,-20.047489017798203,138.2774022629827,-51.87402904135523,-41.054975597653865
HINDUNILVR,8,53.76517452689229,136.5069707403407,-48.547208126164335,-32.23820250334122
ICICIBANK,7,32.05102529583057,486.7076421255007,-46.60064686185071,-48.30724656357865
INDUSINDBK,5,105.90846933396234,-13.862584094555164,-31.544864826940078,-85.10664686879595
INFY,6,56.39081049717078,92.60767875759672,-25.211260797469947,-50.727608548694626
ITC,10,55.21513726085485,16.928113700158587,-33.97455463155593,-57.007296122565386
KOTAKBANK,6,69.62868657685021,151.6679668442733,-29.33796665671682,-36.49898879089953
LT,7,58.66583538793768,258.0553528298678,-27.866282447386727,-55.64536187881814
M&M,8,14.020798826312841,331.9885012961813,-38.93166432541199,-72.65843302584874
MARUTI,7,16.815664327225722,195.3928772772349,-27.0761563650896,-59.201420598983226
NESTLEIND,7,125.84703241175399,305.1076827470367,-22.879886443312238,-22.879886443312248
NTPC,4,176.5721644548118,164.53334263392856,-25.321824419327356,-50.802254452233655
ONGC,4,92.41286769174934,64.52380921144454,-38.71349574339145,-71.54375230582477
POWERGRID,7,129.74974751534413,203.25861935949288,-25.32745738975476,-36.202699754832956
RELIANCE,9,66.59802332104661,446.6597464224809,-35.26839903560963,-45.08835364245187
SBIN,5,83.20709601572854,341.49631446141655,-29.33545542391719,-59.49247890013467
SUNPHARMA,7,110.52797823319018,141.43034522213154,-23.48809433011213,-61.758293009465895
TATASTEEL,3,90.19087195620044,427.24294510505086,-26.31563259235993,-66.00663115333828
TCS,6,114.99372514487409,76.18945988339982,-23.71214200750297,-56.4622569182336
TECHM,4,75.35649215483384,206.74665985883757,-29.660592348886038,-46.567188924307146
TVSMOTOR,7,182.6143973003615,1186.2080524013907,-34.45955327737072,-67.77912223661488
ULTRACEMCO,9,-19.734478895004216,222.77929155313353,-43.38179857123523,-37.656082473394946
WIPRO,6,165.61476429168488,74.0148721037307,-27.305671539239317,-52.83991548639986
YESBANK,5,17.09517542751209,-90.29803404487045,-38.280256699972185,-97.2588832003211
