symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_be_r,t1t2_be_reason,t1t2_be_hit_t1,t1t2_be_hit_t2,t1t2_be_bars,t1t2_be_open,t1run_be_r,t1run_be_reason,t1run_be_hit_t1,t1run_be_hit_t2,t1run_be_bars,t1run_be_open,t1run_trail_r,t1run_trail_reason,t1run_trail_hit_t1,t1run_trail_hit_t2,t1run_trail_bars,t1run_trail_open
ASIANPAINT,2017-10-24 03:45:00+00:00,2017-10-25 03:45:00+00:00,1222.9000244140625,1143.7546936035155,6.471937953265515,,,,,,,1,0.4940275716268408,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False
ASIANPAINT,2017-12-26 03:45:00+00:00,2017-12-27 03:45:00+00:00,1150.0,1098.8342869349888,4.449192440435759,1234.0,daily_swing,1262.0,prev_month,1.6417244081650826,2.1889658775534433,8,0.5149928342141383,-1.0,stop,False,False,28,False,-1.0,stop,False,False,28,False,-1.0,stop,False,False,28,False,-1.0,stop,False,False,28,False,-1.0,stop,False,False,28,False,-1.0,stop,False,False,28,False
ASIANPAINT,2018-03-08 03:45:00+00:00,2018-03-09 03:45:00+00:00,1133.0,1093.423597063337,3.493062924683411,1208.199951171875,daily_swing,1234.0,daily_swing,1.9001209203429346,2.5520257654956047,8,0.4295488912220325,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False,-1.0,stop,False,False,7,False
ASIANPAINT,2018-07-09 03:45:00+00:00,2018-07-10 03:45:00+00:00,1362.800048828125,1237.3874529157365,9.202567612191611,,,,,,,0,,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False,-1.0,stop,False,False,49,False
ASIANPAINT,2019-09-20 03:45:00+00:00,2019-09-23 03:45:00+00:00,1697.8499755859375,1497.9506905691965,11.773671872731551,,,,,,,0,,-1.0,stop,False,False,121,False,-1.0,stop,False,False,121,False,-1.0,stop,False,False,121,False,-1.0,stop,False,False,121,False,-1.0,stop,False,False,121,False,-1.0,stop,False,False,121,False
ASIANPAINT,2020-12-01 03:45:00+00:00,2020-12-02 03:45:00+00:00,2241.0,2152.4000505719864,3.953589889692708,,,,,,,0,,5.067722982898621,trend_exit,False,False,313,False,5.067722982898621,trend_exit,False,False,313,False,5.067722982898621,trend_exit,False,False,313,False,5.067722982898621,trend_exit,False,False,313,False,5.067722982898621,trend_exit,False,False,313,False,5.067722982898621,trend_exit,False,False,313,False
ASIANPAINT,2022-09-28 03:45:00+00:00,2022-09-29 03:45:00+00:00,3563.449951171875,3222.866122000558,9.55769924758766,,,,,,,3,0.07795451972198614,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False
ASIANPAINT,2022-12-07 03:45:00+00:00,2022-12-08 03:45:00+00:00,3230.0,3028.691782924107,6.2324525410493194,3582.89990234375,daily_swing,,,1.7530327746666547,,7,0.6872550940337032,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False
ASIANPAINT,2023-09-25 03:45:00+00:00,2023-09-26 03:45:00+00:00,3323.0,3190.168927873884,3.9973238677735763,3568.0,daily_swing,3590.0,daily_swing,1.844447959942578,2.0100718583864015,10,0.46675825925077485,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False,-1.0,stop,False,False,2,False
ASIANPAINT,2023-12-06 03:45:00+00:00,2023-12-07 03:45:00+00:00,3284.0,3103.5758143833705,5.494037320847428,3568.0,daily_swing,,,1.5740683491483305,,13,0.28155897533641305,-1.0,stop,False,False,29,False,-1.0,stop,False,False,29,False,-1.0,stop,False,False,29,False,-1.0,stop,False,False,29,False,-1.0,stop,False,False,29,False,-1.0,stop,False,False,29,False
